Title,Precio_USD,Fecha_de_publicacion,Visualizaciones,Dimension_terreno,Dimension_propiedad,Ambientes,Banos,Dormitorios,Tipo,Años_antiguedad,Operacion,Zona,Zona2,Superdestacado
Departamento · 113m² · 4 Ambientes,215000,2022-06-27T19:14:07.000Z,199,113,113,4,2,2,Departamento,"60
años",Venta,Capital Federal,Palermo,destacado
Departamento · 74m² · 3 Ambientes,255700,2022-11-10T18:16:22.000Z,0,89,74,3,1,2,Departamento,En construccion,Venta,Capital Federal,Villa Crespo,simple
Departamento · 68m² · 3 Ambientes · 2 Cocheras,255000,2023-05-30T19:02:33.000Z,25,72,68,3,2,2,Departamento,0 años,Venta,Capital Federal,Núñez,simple
Departamento · 50m² · 2 Ambientes,207000,5/12/23,0,50,0,2,2,1,Departamento,"18
años",Venta,Capital Federal,Puerto Madero,superdestacado
Departamento · 60m² · 3 Ambientes,750,2023-07-26T16:31:52.000Z,68,60,60,3,1,2,Departamento,0 años,Alquiler,Capital Federal,Caballito,simple
Local comercial · 20m²,120000,2022-07-11T19:10:51.000Z,0,20,20,0,1,0,Local Comercial,0 años,Venta,Capital Federal,Palermo,simple
Departamento · 73m² · 3 Ambientes,92000,9/16/21,0,82,73,3,1,2,Departamento,"50
años",Venta,Capital Federal,Balvanera,simple
Departamento · 56m² · 2 Ambientes,65000,1/5/23,0,76,56,2,1,1,Departamento,"40
años",Venta,Capital Federal,Flores,simple
Oficina comercial · 59m²,89,1/26/23,0,65,59,0,2,0,Local Comercial,0 años,Alquiler,Capital Federal,Parque Patricios,simple
Smile,61500,10/30/23,319,54,37,2,1,0,Desarrollos inmobiliarios en venta,,Venta,Capital Federal,Palermo,destacado
Departamento · 288m² · 5 Ambientes · 2 Cocheras,3250,2023-09-05T22:07:37.000Z,23,288,288,5,4,3,Departamento,"35
años",Alquiler,Capital Federal,Palermo,superdestacado
Departamento · 59m² · 3 Ambientes,139000,2023-01-04T18:20:17.000Z,0,69,59,3,1,2,Departamento,0 años,Venta,Capital Federal,Flores,simple
PH · 223m² · 5 Ambientes · 2 Cocheras,1300,2023-08-31T19:48:52.000Z,145,266,223,5,2,3,PH,"30
años",Alquiler,Capital Federal,Belgrano,superdestacado
Departamento · 100m² · 3 Ambientes,349000,7/28/22,0,0,100,3,3,2,Departamento,"50
años",Venta,Capital Federal,Palermo,simple
